#,Division,Scheduled Value,Gross Spend,Retainage,Net Spend,Net Received,Cash Balance,Net Receivable,Remaining
1,General Conditions,650000.00,629748.75,0.00,629748.75,629748.75,0.00,0.00,20251.25
2,Sitework,886000.00,886000.01,13347.75,872652.26,872652.26,0.00,13347.75,-0.01
3,Concrete,1074000.00,1037347.01,47363.00,989984.01,989984.01,0.00,47363.00,36652.99
4,Masonry,9000.00,8964.51,800.00,8164.51,8164.51,0.00,800.00,35.49
5,Metals,155000.00,100636.91,5167.50,95469.41,95469.41,0.00,5167.50,54363.09
6,"Wood, Plastics & Composites",1301000.00,1158881.76,37147.81,1121733.95,1263852.19,142118.24,-104970.43,142118.24
7,Thermal & Moisture Protection,1006000.00,0.00,81440.49,-81440.49,912989.90,994430.39,-912989.90,1006000.00
8,Openings,805000.00,0.00,1887.50,-1887.50,683162.50,685050.00,-683162.50,805000.00
9,Finishes,1040000.00,0.00,66615.00,-66615.00,900285.57,966900.57,-900285.57,1040000.00
10,Specialties & Equipment,430000.00,0.00,0.00,0.00,405599.77,405599.77,-405599.77,430000.00
11,Furnishings,290000.00,0.00,0.00,0.00,224165.55,224165.55,-224165.55,290000.00
12,Swimming Pool,215000.00,0.00,14294.60,-14294.60,192569.10,206863.70,-192569.10,215000.00
13,Conveying Equipment,270000.00,0.00,25820.00,-25820.00,244180.00,270000.00,-244180.00,270000.00
14,Fire Suppression,197000.00,0.00,19700.00,-19700.00,177300.00,197000.00,-177300.00,197000.00
15,Plumbing / HVAC,1891000.00,0.00,157843.02,-157843.02,1730563.26,1888406.28,-1730563.26,1891000.00
16,Electrical,1189000.00,13427.80,39920.00,-26492.20,1129918.42,1156410.62,-1116490.62,1175572.20
17,General Liability,92000.00,0.00,0.00,0.00,92000.00,92000.00,-92000.00,92000.00
18,Contractor's Fee,300000.00,0.00,28333.36,-28333.36,255000.00,283333.36,-255000.00,300000.00